training_target_min,training_target_max,schema_version,model_name,task,animal_subset,dataset_path,dataset_sha256,feature_columns,target_column,target_transform,prediction_inverse_transform,split_strategy,is_thesis_evaluation,train_period,calibration_period,selection_period,test_period,random_state,run_id,run_timestamp,producer_source_sha,packages,artifact_path,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,expected_calibration_error,tn,fp,fn,tp,metric_split,selection_eligible,roc_auc_lower,roc_auc_upper,pr_auc_lower,pr_auc_upper,winsorization_lower_quantile,winsorization_upper_quantile,winsorization_lower_value,winsorization_upper_value,mae,rmse,median_absolute_error,r2,mae_lower,mae_upper
0.0,1.0,1.0,dummy_most_frequent,classification,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\combined\dummy_most_frequent.joblib,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4.0,0.0,4.0,0.0,selection,1,,,,,,,,,,,,,,
0.0,1.0,1.0,dummy_most_frequent,classification,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\combined\dummy_most_frequent.joblib,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,8.0,0.0,8.0,0.0,test,0,,,,,,,,,,,,,,
0.0,1.0,1.0,logistic_regression,classification,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\combined\logistic_regression.joblib,0.5,0.0,0.0,0.0,0.5,0.5,0.25,0.0,4.0,0.0,4.0,0.0,selection,1,,,,,,,,,,,,,,
0.0,1.0,1.0,logistic_regression,classification,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\combined\logistic_regression.joblib,0.5,0.0,0.0,0.0,0.5,0.5,0.25,0.0,8.0,0.0,8.0,0.0,test,0,,,,,,,,,,,,,,
0.0,1.0,1.0,random_forest,classification,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\combined\random_forest.joblib,0.5,0.5,0.5,0.5,0.5,0.5,0.2500136334308627,0.003692299844263891,2.0,2.0,2.0,2.0,selection,1,,,,,,,,,,,,,,
0.0,1.0,1.0,random_forest,classification,combined,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\combined\random_forest.joblib,0.5,0.5,0.5,0.5,0.5,0.5,0.2500136334308627,0.0036922998442638078,4.0,4.0,4.0,4.0,test,0,,,,,,,,,,,,,,
0.0,1.0,1.0,dummy_most_frequent,classification,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\dogs\dummy_most_frequent.joblib,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,2.0,0.0,selection,1,0.5,0.5,0.25,0.75,,,,,,,,,,
0.0,1.0,1.0,dummy_most_frequent,classification,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\dogs\dummy_most_frequent.joblib,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4.0,0.0,4.0,0.0,test,0,0.5,0.5,0.25,0.75,,,,,,,,,,
0.0,1.0,1.0,logistic_regression,classification,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\dogs\logistic_regression.joblib,0.75,1.0,0.5,0.6666666666666666,0.75,0.8333333333333333,0.2467839841308465,0.2451517289172981,2.0,0.0,1.0,1.0,selection,1,0.0,1.0,0.3333333333333333,1.0,,,,,,,,,,
0.0,1.0,1.0,logistic_regression,classification,dogs,tmp.csv,2fd574a91a78f6965d97d32d07c37f14c324872555abfbf1d5f2d7b186c596e2,"['animal_type', 'intake_type', 'intake_condition', 'sex_upon_intake', 'age_days', 'age_group', 'primary_breed', 'simplified_breed_group', 'primary_color', 'simplified_color_group', 'is_black_or_dark', 'is_named', 'intake_year', 'intake_month', 'covid_period', 'daily_temp_max', 'daily_temp_min', 'daily_precipitation', 'is_extreme_heat', 'is_rainy_day', 'animal_311_requests_7d', 'animal_311_requests_30d', 'intake_volume_7d', 'intake_volume_30d']",classification_target,identity,identity,time,True,2013-2021,2022,2023,2024-2025,42,dev,2026-06-09T15:47:02.779296+00:00,1064cabc7f7ca4c0273d70e77857bd6ca8a48623,"{'pandas': '2.3.3', 'scikit-learn': '1.8.0', 'catboost': '1.2.10', 'numpy': '2.4.6'}",models\classification\dogs\logistic_regression.joblib,0.5,0.5,0.25,0.3333333333333333,0.5,0.65,0.25003252674423715,0.004848155443096913,3.0,1.0,3.0,1.0,test,0,0.06583333333333333,1.0,0.22619047619047616,1.0,,,,,,,,,,
