number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_learning_rate,params_subsample,state,model,params_l2_regularization,params_max_leaf_nodes,params_min_samples_leaf
0,0.7345542557961761,2026-06-12 22:45:03.422080,2026-06-12 22:45:39.692386,0 days 00:00:36.270306,10.0,0.8471801418819978,0.008468008575248327,0.7993292420985183,COMPLETE,catboost_classification,,,
1,0.6878926080476386,2026-06-12 22:45:39.692386,2026-06-12 22:45:51.095868,0 days 00:00:11.403482,4.0,0.0017073967431528124,0.0024348773534554596,0.9330880728874675,COMPLETE,catboost_classification,,,
2,0.726439367431596,2026-06-12 22:45:51.095868,2026-06-12 22:46:27.028614,0 days 00:00:35.932746,8.0,0.0012087541473056963,0.030834348179355788,0.9849549260809971,COMPLETE,catboost_classification,,,
3,0.7351616570350056,2026-06-12 22:46:27.029114,2026-06-12 22:46:58.767631,0 days 00:00:31.738517,4.0,0.005337032762603957,0.11536162338241392,0.5917022549267169,COMPLETE,catboost_classification,,,
4,0.7166962594190057,2026-06-12 22:46:58.768131,2026-06-12 22:47:18.544570,0 days 00:00:19.776439,7.0,0.05342937261279776,0.005670807781371429,0.645614570099021,COMPLETE,catboost_classification,,,
0,17.025517852046985,2026-06-12 22:47:18.546070,2026-06-12 22:50:00.388203,0 days 00:02:41.842133,10.0,0.8471801418819978,0.008468008575248327,0.7993292420985183,COMPLETE,catboost_regression,,,
1,17.977105891369053,2026-06-12 22:50:00.388203,2026-06-12 22:50:51.983171,0 days 00:00:51.594968,4.0,0.0017073967431528124,0.0024348773534554596,0.9330880728874675,COMPLETE,catboost_regression,,,
2,16.8961507454413,2026-06-12 22:50:51.983171,2026-06-12 22:52:45.387122,0 days 00:01:53.403951,8.0,0.0012087541473056963,0.030834348179355788,0.9849549260809971,COMPLETE,catboost_regression,,,
3,16.95165548863574,2026-06-12 22:52:45.387122,2026-06-12 22:53:20.710262,0 days 00:00:35.323140,4.0,0.005337032762603957,0.11536162338241392,0.5917022549267169,COMPLETE,catboost_regression,,,
4,17.292708404717754,2026-06-12 22:53:20.710262,2026-06-12 22:54:55.891807,0 days 00:01:35.181545,7.0,0.05342937261279776,0.005670807781371429,0.645614570099021,COMPLETE,catboost_regression,,,
0,0.7094897427621277,2026-06-12 22:54:55.893807,2026-06-12 22:55:14.472037,0 days 00:00:18.578230,,,0.008468008575248327,,COMPLETE,hist_gradient_boosting_classification,0.8471801418819978,122.0,64.0
1,0.7120402614565157,2026-06-12 22:55:14.472037,2026-06-12 22:55:21.488756,0 days 00:00:07.016719,,,0.0024348773534554596,,COMPLETE,hist_gradient_boosting_classification,0.0017073967431528124,32.0,88.0
2,0.7105641065938526,2026-06-12 22:55:21.488756,2026-06-12 22:55:25.688987,0 days 00:00:04.200231,,,0.030834348179355788,,COMPLETE,hist_gradient_boosting_classification,0.0012087541473056963,95.0,98.0
3,0.7015025570341132,2026-06-12 22:55:25.688987,2026-06-12 22:55:28.019392,0 days 00:00:02.330405,,,0.11536162338241392,,COMPLETE,hist_gradient_boosting_classification,0.005337032762603957,38.0,26.0
4,0.7087050662110553,2026-06-12 22:55:28.019392,2026-06-12 22:57:09.510535,0 days 00:01:41.491143,,,0.005670807781371429,,COMPLETE,hist_gradient_boosting_classification,0.05342937261279776,74.0,36.0
0,17.848400609852103,2026-06-12 22:57:09.512535,2026-06-12 22:57:53.486179,0 days 00:00:43.973644,,,0.008468008575248327,,COMPLETE,hist_gradient_boosting_regression,0.8471801418819978,122.0,64.0
1,18.12502471258939,2026-06-12 22:57:53.486679,2026-06-12 22:58:19.122636,0 days 00:00:25.635957,,,0.0024348773534554596,,COMPLETE,hist_gradient_boosting_regression,0.0017073967431528124,32.0,88.0
2,17.90500514755345,2026-06-12 22:58:19.122636,2026-06-12 22:58:43.571885,0 days 00:00:24.449249,,,0.030834348179355788,,COMPLETE,hist_gradient_boosting_regression,0.0012087541473056963,95.0,98.0
3,17.91155291377244,2026-06-12 22:58:43.571885,2026-06-12 22:58:46.722433,0 days 00:00:03.150548,,,0.11536162338241392,,COMPLETE,hist_gradient_boosting_regression,0.005337032762603957,38.0,26.0
4,17.877234700920578,2026-06-12 22:58:46.722433,2026-06-12 23:01:07.841963,0 days 00:02:21.119530,,,0.005670807781371429,,COMPLETE,hist_gradient_boosting_regression,0.05342937261279776,74.0,36.0
